		Akvin	2019165465	19	男	电子	3.89
		Owen	2014165413	19	男	机电	3.66
		Eva	2018164523	23	女	机电	3.79
		Rex	2016148796	18	男	机电	3.55
		Kett	2018152004	19	女	计软	4
		Jerry	2018151001	18	男	计软	3
		Petter	2019153152	20	男	计软	3.5
		Spike	2015642849	19	男	人文	3.47
		Ted	2016498752	20	男	人文	3.69
		Cole	2015120148	18	男	数学	3.44
		Bob	2016542112	20	男	数学	3.98
		Louis	2018164522	19	男	数学	3.88
		Bonnie	2017532146	20	女	外语	3.77
		Amy	2016498542	21	女	外语	3.54
		Willy	2014632145	21	男	外语	3.87
		Jay	2014562148	19	男	物理	3.44
		Nick	2017146531	21	女	物理	4.33
		Loren	2016452184	20	男	物理	4.21
		Ivy	2013154879	20	女	物理	4.02
		Jeoy	2016151551	21	男	信工	3.2
		Abel	2017154966	19	男	信工	3.56
		Gina	2012021546	18	女	信工	4.05
		Bill	2017164854	19	男	信工	4.21
		Adam	2018146321	18	男	信工	3.66
		Daisy	2016498542	19	女	医学	3.45
		Cora	2017649584	20	女	医学	3.84
